#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
11,Yes,female,24,Salfeet ,university,single,"Personal history, friends/relatives , others",Yes,Not sure,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,Not sure,no,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes
12,Yes,female,19,Ramallah,university,single,"friends/relatives , study",no,Not sure,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,no,no,Not sure,no,Not sure,Yes,Yes,Yes,no,Not sure,Not sure,Not sure,Yes,Not sure,Not sure
13,Yes,female,22,Salfeet ,university,Married,others,no,Yes,no,no,Yes,nerve compression near the joint ,no,no,Yes,no,Not sure,Not sure,Yes,no,no,Yes,Yes,no,Not sure,Not sure,no,Yes,Yes,Yes,Yes,Yes
,Yes,female,22,Salfeet ,university,single,friends/relatives ,no,Yes,no,no,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Not sure,no,Yes,no,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Yes,female,43,Salfeet ,university,Married,friends/relatives ,Yes,Yes,Not sure,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Yes,female,24,Salfeet ,university,Married,friends/relatives ,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure
,Yes,female,25,Salfeet ,university,single,friends/relatives ,no,Yes,no,Not sure,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,no,Yes,no,Not sure,Yes,Yes,Yes,Yes
14,Yes,female,25,Salfeet ,university,single,media,no,Yes,no,no,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Not sure,no,Yes,Not sure,no,no,no,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure
15,Yes,male,53,Salfeet ,university,Married,Personal history,Yes,Yes,no,Yes,Not sure,crystal accumulation in the joint,no,Yes,Yes,Not sure,Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
16,Yes,female,40,Salfeet ,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Not sure,no,Yes,Yes,no,no,Yes,Yes,Not sure,Not sure,Yes
17,Yes,female,43,Salfeet ,university,Married,friends/relatives ,Yes,Yes,Not sure,no,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Not sure,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Yes,female,23,Salfeet ,university,single,others,no,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Not sure,no,Not sure,Yes,Not sure,Yes,no,Yes,Yes,Not sure,no,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure
19,Yes,female,21,Salfeet ,university,single,Personal history,no,Not sure,Not sure,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,no,no,Yes
20,Yes,female,33,Salfeet ,Postgraduate studies (Masters/PhD),Married,study,no,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,no
21,Yes,female,25,Salfeet ,university,single,study,no,Not sure,no,no,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,no,Not sure,Yes,Yes,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes
22,Yes,female,45,Salfeet ,university,Married,"Personal history, friends/relatives , media",Yes,Yes,no,Yes,no,"nerve compression near the joint , crystal accumulation in the joint",no,Yes,no,no,Yes,Yes,Yes,Yes,Not sure,Yes,no,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes
23,Yes,male,34,Salfeet ,university,Married,"Personal history, study, media, others",Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
24,Yes,female,23,Salfeet ,university,single,"study, media",Yes,Yes,no,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
25,Yes,male,49,Salfeet ,university,Married,media,no,Not sure,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
26,Yes,female,24,Salfeet ,university,single,"friends/relatives , media",Yes,Yes,no,Not sure,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
27,Yes,female,27,Salfeet ,university,Married,friends/relatives ,Yes,Yes,no,Yes,no,"decreased blood supply to the joint, nerve compression near the joint , crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,no
28,Yes,female,49,Salfeet ,university,Married,friends/relatives ,Yes,Not sure,no,no,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Not sure,Yes,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
29,Yes,male,24,Hebron,university,single,"study, media, healthcare",no,Not sure,Not sure,Yes,Not sure,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,no,Yes,no,Not sure,no,Not sure,Not sure,no,Yes,Not sure,Yes,Not sure,Yes,Yes
30,Yes,male,22,Nablus,university,single,study,no,Yes,no,no,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,no,Yes,Yes
31,Yes,female,21,Nablus,university,single,study,Yes,Yes,no,Yes,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32,Yes,female,22,Nablus,university,single,study,Yes,Yes,no,Not sure,Yes,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes
33,Yes,female,22,Nablus,university,single,"friends/relatives , study",no,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,no,Yes,no,Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes
34,Yes,female,22,Nablus,university,single,study,no,Yes,no,Not sure,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Not sure,Yes,no,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Not sure
35,Yes,female,27,Tubas,university,Married,"Personal history, friends/relatives ",Yes,Yes,no,no,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,no,Yes
36,Yes,female,29,Tubas,university,Married,friends/relatives ,no,no,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes
37,Yes,female,33,Tubas,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Yes,no,Not sure,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes
38,Yes,female,23,Tubas,university,single,study,no,Yes,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
39,Yes,female,24,Tubas,university,single,"study, healthcare",no,Yes,Yes,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes
40,Yes,female,31,Tubas,university,Married,others,no,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,no,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes
41,Yes,female,28,Tubas,university,Married,friends/relatives ,Yes,Yes,Yes,no,Yes,cartilage at the end of the bones wearing down over time,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Not sure
42,Yes,female,20,Tubas,university,Married,media,no,Yes,no,Yes,no,infection,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
43,Yes,male,38,Tubas,primary school,Married,friends/relatives ,Yes,Not sure,Yes,Yes,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Not sure,no,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,no,no,Yes,no,Yes,Yes
44,Yes,female,33,Tubas,university,Married,healthcare,Yes,Yes,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,no,no,no,Yes,Yes,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes
45,Yes,female,24,Tubas,Postgraduate studies (Masters/PhD),single,"friends/relatives , media",no,Yes,Yes,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
46,Yes,female,30,Tubas,university,Married,healthcare,no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,Yes,Yes,no,no,Yes,no,Yes,no,Yes,Yes
47,Yes,female,28,Tubas,university,Married,friends/relatives ,Yes,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,Not sure,no,Yes,Yes,no,no,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes
48,Yes,female,35,Tubas,university,Married,others,no,Not sure,no,Not sure,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Not sure,no,Not sure,Yes,Not sure,Not sure,no,Not sure,no,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes
49,Yes,female,20,Tubas,university,single,"friends/relatives , study, others",Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
50,Yes,female,36,Tubas,university,Married,study,Yes,Yes,no,no,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes
51,Yes,female,39,Tubas,university,Married,Personal history,Yes,no,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Not sure,no,Yes,no,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes
52,Yes,female,33,Tubas,university,Married,friends/relatives ,Yes,no,Yes,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,no,Yes,Not sure,Yes,no,no,Not sure,no,Yes,Not sure,Yes,no,no,Yes,no,Not sure,Yes,Yes,Yes
53,Yes,female,29,Tubas,university,Married,Personal history,Yes,no,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Not sure,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes
54,Yes,female,50,Tubas,university,widow,friends/relatives ,Yes,Yes,no,Not sure,no,cartilage at the end of the bones wearing down over time,no,Yes,no,no,no,no,no,Not sure,Not sure,Not sure,Yes,no,Yes,Not sure,Yes,no,no,no,Yes,Yes
55,Yes,male,52,Tubas,university,Married,friends/relatives ,no,Yes,no,Yes,Yes,crystal accumulation in the joint,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes
56,Yes,male,22,Hebron,university,single,study,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Not sure,Yes,Yes,Yes,Yes
57,Yes,female,53,Hebron,university,Married,Personal history,Yes,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes
58,Yes,female,22,Hebron,university,single,study,Yes,no,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
59,Yes,female,21,Hebron,university,single,friends/relatives ,Yes,Yes,Not sure,Not sure,Not sure,"infection, nerve compression near the joint ",no,Yes,Yes,no,Yes,Not sure,no,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
60,Yes,female,23,Salfeet ,university,single,study,no,Yes,no,Yes,Not sure,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Not sure
61,Yes,female,21,Hebron,university,single,study,no,Yes,no,Not sure,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,no,no,Not sure,Yes,Yes,Yes,Yes,Yes
62,Yes,male,29,Hebron,university,Married,study,no,Yes,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Not sure,Yes,no,Yes,Not sure,Not sure,Not sure,no,no,no,Yes,Yes,Yes,Yes,Yes,Not sure
63,Yes,female,24,Hebron,university,single,friends/relatives ,Yes,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure,no,Yes,Yes,Yes,no,no,Yes,Not sure,Yes,Yes,Yes,Not sure
64,Yes,female,22,Hebron,university,single,friends/relatives ,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Not sure,Not sure,no,no,no,no,Yes,Yes,Yes,Yes,Yes
65,Yes,female,22,Hebron,university,Married,"friends/relatives , study, media, healthcare",Yes,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
66,Yes,female,21,Hebron,university,Married,"friends/relatives , media",Yes,no,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,no,no,Not sure,Not sure,no,Yes,Yes,no,Yes,Yes,Yes
67,Yes,female,22,Hebron,university,single,friends/relatives ,Yes,Not sure,no,Yes,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
68,Yes,male,23,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,Not sure,Not sure,"decreased blood supply to the joint, nerve compression near the joint ",Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,Yes,no
69,Yes,male,56,Jenin ,high school,Married,Personal history,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Not sure,no,Yes,no,Yes,Yes,Not sure,Yes,no,Not sure,no,no,Yes,Not sure,Not sure,no,Yes,Yes
70,Yes,female,56,Jenin ,Postgraduate studies (Masters/PhD),Married,Personal history,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,Yes,Yes,no,Not sure,Not sure,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes
71,Yes,female,21,Jenin ,university,single,"friends/relatives , study",Yes,Yes,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes
72,Yes,female,24,Jenin ,university,Married,"study, media",Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,no,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes
73,Yes,female,22,Jenin ,university,single,study,Yes,Yes,Not sure,no,Yes,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
74,Yes,female,23,Jenin ,university,single,study,Yes,Yes,no,Yes,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Not sure,no,no,no,no,Yes,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes
75,Yes,female,23,Jenin ,university,Married,study,Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
76,Yes,female,34,Jenin ,university,Married,others,no,Yes,no,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,Not sure,no,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Yes,Yes
77,Yes,female,40,Tubas,university,Married,Personal history,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes
